INFO 2024-02-24 02:36:58,018 basehttp 19140 23200 "GET /static/admin/css/forms.css HTTP/1.1" 200 9090
INFO 2024-02-24 02:36:58,019 basehttp 19140 13276 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2024-02-24 02:36:58,025 basehttp 19140 13276 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2024-02-24 02:36:58,025 basehttp 19140 23200 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11800
INFO 2024-02-24 02:37:06,832 basehttp 19140 13276 "POST /admin/auth/user/add/ HTTP/1.1" 200 11745
INFO 2024-02-24 02:37:06,885 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:37:18,301 basehttp 19140 13276 "POST /admin/auth/user/add/ HTTP/1.1" 200 11593
INFO 2024-02-24 02:37:18,350 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:37:42,873 basehttp 19140 13276 "POST /admin/auth/user/add/ HTTP/1.1" 302 0
INFO 2024-02-24 02:37:42,905 basehttp 19140 13276 "GET /admin/auth/user/add/ HTTP/1.1" 200 11546
INFO 2024-02-24 02:37:42,970 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:38:05,461 basehttp 19140 13276 "POST /admin/auth/user/add/ HTTP/1.1" 302 0
INFO 2024-02-24 02:38:05,514 basehttp 19140 13276 "GET /admin/auth/user/3/change/ HTTP/1.1" 200 23306
INFO 2024-02-24 02:38:05,576 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:38:05,584 basehttp 19140 20536 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2024-02-24 02:38:05,585 basehttp 19140 20472 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2024-02-24 02:38:05,585 basehttp 19140 23200 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2024-02-24 02:38:05,586 basehttp 19140 21372 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15492
INFO 2024-02-24 02:38:05,671 basehttp 19140 20472 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2024-02-24 02:38:05,671 basehttp 19140 20536 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2024-02-24 02:38:05,677 basehttp 19140 21372 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2024-02-24 02:38:05,685 basehttp 19140 13276 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2024-02-24 02:38:05,685 basehttp 19140 23200 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2024-02-24 02:38:09,412 basehttp 19140 23200 "GET /admin/auth/user/ HTTP/1.1" 200 12914
INFO 2024-02-24 02:38:09,465 basehttp 19140 23200 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2024-02-24 02:38:09,470 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:38:11,161 basehttp 19140 13276 "GET /admin/auth/user/3/change/ HTTP/1.1" 200 23009
INFO 2024-02-24 02:38:11,216 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:38:12,685 basehttp 19140 13276 "GET /admin/auth/user/ HTTP/1.1" 200 12914
INFO 2024-02-24 02:38:12,740 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:38:16,011 basehttp 19140 13276 "GET /admin/auth/user/3/change/ HTTP/1.1" 200 23009
INFO 2024-02-24 02:38:16,074 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 02:38:24,778 basehttp 19140 13276 "GET /admin/auth/user/ HTTP/1.1" 200 12914
INFO 2024-02-24 02:38:24,839 basehttp 19140 13276 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-02-24 03:03:31,890 autoreload 19504 20232 Watching for file changes with StatReloader
INFO 2024-02-24 03:50:12,914 autoreload 21180 19564 Watching for file changes with StatReloader
INFO 2024-02-24 03:50:18,836 basehttp 21180 23016 "GET / HTTP/1.1" 200 385
WARNING 2024-02-24 03:50:19,373 log 21180 23016 Not Found: /favicon.ico
WARNING 2024-02-24 03:50:19,373 basehttp 21180 23016 "GET /favicon.ico HTTP/1.1" 404 2401
INFO 2024-02-24 03:51:57,998 autoreload 22276 18164 Watching for file changes with StatReloader
INFO 2024-02-24 03:52:00,188 basehttp 22276 7720 "GET / HTTP/1.1" 200 446
INFO 2024-02-24 03:59:28,789 autoreload 18104 19864 Watching for file changes with StatReloader
INFO 2024-02-24 03:59:32,949 basehttp 18104 20064 "GET / HTTP/1.1" 200 379
INFO 2024-02-24 04:25:20,265 autoreload 20988 5216 Watching for file changes with StatReloader
ERROR 2024-02-24 04:25:24,163 log 20988 18280 Internal Server Error: /
Traceback (most recent call last):
  File "I:\Python разработка\Тех.специализация python\Фреймворки Flask и FastAPI\RecipeSite\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
